,time,open,high,low,close,tick_volume,spread,real_volume
0,1715547960,0.59801,0.59805,0.59794,0.59794,5,94,0
1,1715548020,0.59801,0.59805,0.59801,0.59802,8,94,0
2,1715548080,0.59805,0.59805,0.59803,0.59803,4,95,0
3,1715548140,0.59807,0.59807,0.59793,0.59793,5,92,0
4,1715548200,0.59797,0.59803,0.59772,0.59772,6,98,0
5,1715548260,0.59773,0.59784,0.59773,0.59784,8,119,0
6,1715548320,0.59783,0.59793,0.59783,0.59792,10,103,0
7,1715548380,0.59787,0.59787,0.59774,0.59786,8,110,0
8,1715548440,0.59784,0.59791,0.59783,0.59791,7,100,0
9,1715548500,0.59793,0.59798,0.59793,0.59798,6,90,0
10,1715548560,0.598,0.598,0.59777,0.59791,8,87,0
11,1715548620,0.59787,0.59794,0.59784,0.59788,9,95,0
12,1715548680,0.59784,0.5979,0.59777,0.59789,6,97,0
13,1715548740,0.59789,0.59792,0.59782,0.59792,6,94,0
14,1715548800,0.59784,0.59791,0.59778,0.59791,7,95,0
15,1715548860,0.59784,0.59787,0.59779,0.59783,5,99,0
16,1715548920,0.5979,0.5979,0.59785,0.59787,5,95,0
17,1715548980,0.59782,0.59784,0.59782,0.59784,2,108,0
18,1715549040,0.5979,0.5979,0.59783,0.59789,6,96,0
19,1715549100,0.59787,0.59791,0.59784,0.59791,14,101,0
20,1715549160,0.59781,0.59781,0.59757,0.59773,13,115,0
21,1715549220,0.59772,0.59782,0.59772,0.59781,6,100,0
22,1715549280,0.59781,0.59791,0.5978,0.59791,10,90,0
23,1715549340,0.59792,0.59795,0.59789,0.59795,3,85,0
24,1715549400,0.59796,0.59796,0.59774,0.59796,14,81,0
25,1715549460,0.59797,0.59801,0.59797,0.59799,10,73,0
26,1715549520,0.59799,0.59801,0.59758,0.59796,20,80,0
27,1715549580,0.59797,0.5981,0.59794,0.5981,16,83,0
28,1715549640,0.59811,0.59818,0.59811,0.59818,7,62,0
29,1715549700,0.59818,0.59819,0.59813,0.59817,10,60,0
30,1715549760,0.59814,0.59819,0.59812,0.59819,9,65,0
31,1715549820,0.59819,0.59823,0.59816,0.59823,9,56,0
32,1715549880,0.59823,0.59824,0.59819,0.59819,4,54,0
33,1715549940,0.5982,0.59824,0.5982,0.59823,8,53,0
34,1715550000,0.59824,0.59824,0.59821,0.59823,5,53,0
35,1715550060,0.59823,0.59824,0.59814,0.59814,4,50,0
36,1715550120,0.59815,0.59819,0.59815,0.59819,5,54,0
37,1715550180,0.5982,0.59821,0.5982,0.59821,2,50,0
38,1715550240,0.59822,0.59822,0.59822,0.59822,1,48,0
39,1715550300,0.59822,0.59828,0.59822,0.59824,6,37,0
40,1715550360,0.59828,0.59828,0.5982,0.5982,4,37,0
41,1715550420,0.59822,0.59822,0.59811,0.59821,8,48,0
42,1715550480,0.5982,0.59821,0.59813,0.5982,5,49,0
43,1715550540,0.5982,0.59822,0.59817,0.59818,7,48,0
44,1715550600,0.59819,0.59822,0.59814,0.59816,12,52,0
45,1715550660,0.59819,0.59821,0.59814,0.59821,7,49,0
46,1715550720,0.5982,0.59821,0.59807,0.59817,11,50,0
47,1715550780,0.5982,0.59827,0.5982,0.59827,7,37,0
48,1715550840,0.59827,0.59827,0.59777,0.59794,25,37,0
49,1715550900,0.59795,0.59806,0.59716,0.59721,24,74,0
50,1715550960,0.59724,0.59795,0.59724,0.59788,29,106,0
51,1715551020,0.59801,0.59812,0.59801,0.59812,10,70,0
52,1715551080,0.59813,0.59813,0.59774,0.5981,22,68,0
53,1715551140,0.59812,0.59812,0.59751,0.59762,17,66,0
54,1715551200,0.59774,0.59799,0.59666,0.59788,27,78,0
55,1715551260,0.59787,0.59793,0.59787,0.59793,11,71,0
56,1715551320,0.59793,0.59794,0.59789,0.59793,11,68,0
57,1715551380,0.59793,0.59794,0.59788,0.59792,10,64,0
58,1715551440,0.59792,0.59794,0.5979,0.5979,8,60,0
59,1715551500,0.5979,0.59791,0.59788,0.59789,4,57,0
60,1715551560,0.5979,0.5979,0.59772,0.59778,5,56,0
61,1715551620,0.59781,0.59787,0.59781,0.59785,9,62,0
62,1715551680,0.59786,0.59789,0.59786,0.59789,6,57,0
63,1715551740,0.59788,0.59788,0.59771,0.59781,11,56,0
64,1715551800,0.59782,0.59784,0.59782,0.59784,5,59,0
65,1715551860,0.59784,0.59788,0.59784,0.59787,5,55,0
66,1715551920,0.59788,0.59792,0.59788,0.59792,6,53,0
67,1715551980,0.59793,0.59793,0.59788,0.59791,4,52,0
68,1715552040,0.59791,0.59792,0.59787,0.59792,8,53,0
69,1715552100,0.59792,0.59795,0.59791,0.59795,6,50,0
70,1715552160,0.59795,0.59795,0.59795,0.59795,1,49,0
71,1715552220,0.59795,0.59803,0.59795,0.59803,8,48,0
72,1715552280,0.59803,0.59803,0.59788,0.59797,9,50,0
73,1715552340,0.59798,0.598,0.59797,0.59799,10,52,0
74,1715552400,0.598,0.59803,0.59798,0.598,10,51,0
75,1715552460,0.59801,0.59811,0.59791,0.59811,16,47,0
76,1715552520,0.59811,0.59816,0.59809,0.59816,7,37,0
77,1715552580,0.59816,0.59816,0.59811,0.59811,5,37,0
78,1715552640,0.59811,0.59816,0.59804,0.59816,5,37,0
79,1715552700,0.59816,0.59817,0.59816,0.59816,3,37,0
80,1715552760,0.59817,0.59825,0.59809,0.59821,11,37,0
81,1715552820,0.59821,0.59821,0.59818,0.59819,10,37,0
