,time,open,high,low,close,tick_volume,spread,real_volume
0,1715547960,0.66225,0.66235,0.66207,0.66211,7,89,0
1,1715548020,0.6622,0.66236,0.66216,0.66221,6,83,0
2,1715548080,0.66223,0.66235,0.66213,0.66217,5,84,0
3,1715548140,0.66225,0.6623,0.66212,0.66212,5,91,0
4,1715548200,0.66223,0.66231,0.66189,0.66222,8,85,0
5,1715548260,0.66223,0.66223,0.66212,0.66221,3,109,0
6,1715548320,0.66203,0.66225,0.66176,0.66218,7,102,0
7,1715548380,0.66224,0.66224,0.66205,0.66205,2,115,0
8,1715548440,0.66219,0.66225,0.66206,0.66206,4,112,0
9,1715548500,0.66224,0.66224,0.66206,0.66206,2,115,0
10,1715548560,0.66223,0.66224,0.6621,0.6621,4,111,0
11,1715548620,0.66225,0.66225,0.66214,0.66217,5,107,0
12,1715548680,0.66215,0.66215,0.66215,0.66215,1,118,0
13,1715548740,0.66219,0.66219,0.66217,0.66217,2,115,0
14,1715548800,0.66219,0.66219,0.66216,0.66218,4,116,0
15,1715548860,0.66216,0.66216,0.66216,0.66216,1,116,0
16,1715548920,0.66216,0.66225,0.66216,0.66224,12,106,0
17,1715548980,0.66225,0.66225,0.66219,0.66225,4,107,0
18,1715549040,0.66224,0.66228,0.6622,0.66224,7,110,0
19,1715549100,0.66228,0.66231,0.66223,0.66231,11,103,0
20,1715549160,0.66232,0.66232,0.66215,0.66224,10,103,0
21,1715549220,0.66228,0.66228,0.66211,0.66222,11,111,0
22,1715549280,0.66228,0.66228,0.66216,0.66216,4,112,0
23,1715549340,0.66227,0.66227,0.66207,0.66221,3,121,0
24,1715549400,0.6623,0.6623,0.66216,0.66229,18,107,0
25,1715549460,0.66231,0.66231,0.66228,0.66231,9,106,0
26,1715549520,0.66232,0.66232,0.66195,0.66219,19,105,0
27,1715549580,0.66219,0.66235,0.66219,0.66235,15,129,0
28,1715549640,0.66235,0.66246,0.66235,0.66246,14,109,0
29,1715549700,0.66246,0.66252,0.66246,0.66251,9,96,0
30,1715549760,0.66248,0.66256,0.66239,0.66249,18,89,0
31,1715549820,0.66251,0.6626,0.66251,0.66258,15,84,0
32,1715549880,0.66259,0.66263,0.66259,0.66263,9,79,0
33,1715549940,0.6626,0.66266,0.6626,0.66266,12,73,0
34,1715550000,0.66267,0.66267,0.66264,0.66267,16,70,0
35,1715550060,0.66267,0.66268,0.66262,0.66267,11,68,0
36,1715550120,0.66267,0.6627,0.66265,0.66265,15,62,0
37,1715550180,0.66265,0.66268,0.66264,0.66268,14,65,0
38,1715550240,0.66267,0.6627,0.66266,0.6627,9,63,0
39,1715550300,0.6627,0.66271,0.66269,0.66271,12,60,0
40,1715550360,0.66271,0.66273,0.66269,0.66273,9,57,0
41,1715550420,0.66268,0.66274,0.66268,0.66272,7,55,0
42,1715550480,0.66271,0.66274,0.66268,0.66274,7,58,0
43,1715550540,0.66274,0.66275,0.66269,0.66274,11,55,0
44,1715550600,0.66274,0.66276,0.66272,0.66276,9,55,0
45,1715550660,0.66276,0.66277,0.6627,0.66274,13,53,0
46,1715550720,0.66275,0.66276,0.66268,0.6627,12,56,0
47,1715550780,0.66272,0.66276,0.66272,0.66275,10,63,0
48,1715550840,0.66277,0.6628,0.66203,0.66225,23,55,0
49,1715550900,0.66226,0.66244,0.662,0.66204,28,91,0
50,1715550960,0.66207,0.66256,0.66176,0.66249,33,77,0
51,1715551020,0.66246,0.66266,0.66246,0.66266,15,64,0
52,1715551080,0.66266,0.66266,0.66204,0.66226,23,64,0
53,1715551140,0.66219,0.66234,0.66215,0.66231,16,93,0
54,1715551200,0.66199,0.66249,0.66145,0.66228,38,64,0
55,1715551260,0.66224,0.6623,0.66224,0.6623,7,61,0
56,1715551320,0.66229,0.6623,0.66227,0.66227,5,58,0
57,1715551380,0.66228,0.6623,0.66226,0.6623,4,55,0
58,1715551440,0.6623,0.66231,0.6623,0.66231,4,53,0
59,1715551500,0.66232,0.66232,0.66225,0.66229,5,54,0
60,1715551560,0.66229,0.6623,0.66227,0.66228,6,52,0
61,1715551620,0.66228,0.66229,0.66227,0.66229,4,51,0
62,1715551680,0.66227,0.66228,0.66227,0.66228,2,50,0
63,1715551740,0.66228,0.66228,0.66227,0.66228,3,48,0
64,1715551800,0.66228,0.66228,0.66228,0.66228,1,48,0
65,1715551860,0.66228,0.6623,0.66228,0.6623,5,47,0
66,1715551920,0.6623,0.66233,0.6623,0.66233,4,48,0
67,1715551980,0.66235,0.66237,0.66235,0.66236,4,45,0
68,1715552040,0.66236,0.66237,0.66236,0.66237,2,45,0
69,1715552100,0.66237,0.66238,0.66237,0.66238,2,44,0
70,1715552160,0.66241,0.66243,0.66241,0.66243,3,43,0
71,1715552220,0.66243,0.66252,0.66243,0.66252,7,43,0
72,1715552280,0.66253,0.66253,0.66253,0.66253,1,43,0
73,1715552340,0.66253,0.66253,0.66251,0.66252,5,42,0
74,1715552400,0.66252,0.66256,0.66252,0.66255,9,41,0
75,1715552460,0.66256,0.66257,0.66241,0.66257,9,40,0
76,1715552520,0.66258,0.66259,0.66258,0.66259,2,40,0
77,1715552580,0.66259,0.66259,0.66252,0.66255,8,40,0
78,1715552640,0.66255,0.66258,0.66255,0.66258,4,39,0
79,1715552700,0.66258,0.66259,0.66258,0.66259,4,39,0
80,1715552760,0.6626,0.66265,0.66259,0.66261,10,39,0
81,1715552820,0.66261,0.66262,0.66258,0.66259,6,38,0
82,1715552880,0.6626,0.6626,0.66247,0.66252,10,38,0
83,1715552940,0.66252,0.66253,0.66249,0.66252,11,38,0
84,1715553000,0.66252,0.66256,0.66248,0.66253,19,39,0
85,1715553060,0.66254,0.66255,0.6625,0.66255,19,37,0
86,1715553120,0.66255,0.6626,0.66255,0.6626,4,37,0
87,1715553180,0.6626,0.66265,0.66259,0.6626,9,29,0
88,1715553240,0.66261,0.66264,0.66261,0.66264,8,36,0
89,1715553300,0.66262,0.66265,0.6626,0.66262,9,29,0
90,1715553360,0.66262,0.66263,0.66258,0.66263,12,29,0
91,1715553420,0.66264,0.66265,0.6626,0.66265,9,29,0
92,1715553480,0.66265,0.66268,0.66261,0.66267,10,29,0
93,1715553540,0.66267,0.66268,0.66267,0.66267,3,29,0
94,1715553600,0.66267,0.66269,0.66267,0.66269,3,29,0
95,1715553660,0.66269,0.66269,0.66261,0.66265,15,29,0
96,1715553720,0.66264,0.66264,0.66254,0.66262,8,29,0
97,1715553780,0.66261,0.66261,0.66255,0.66261,7,29,0
98,1715553840,0.66261,0.66261,0.66261,0.66261,1,29,0
99,1715553900,0.66261,0.66264,0.66261,0.66264,4,29,0
100,1715553960,0.66264,0.66268,0.66261,0.66268,8,29,0
101,1715554020,0.66268,0.66268,0.66268,0.66268,1,29,0
102,1715554080,0.66268,0.66268,0.66264,0.66265,5,29,0
103,1715554140,0.66265,0.66265,0.66261,0.66264,6,29,0
104,1715554200,0.66264,0.66264,0.66262,0.66262,2,29,0
105,1715554260,0.66262,0.66264,0.66262,0.66264,8,29,0
106,1715554320,0.66264,0.66265,0.66264,0.66264,3,29,0
107,1715554380,0.66264,0.66265,0.66264,0.66264,5,29,0
108,1715554440,0.66262,0.66267,0.66262,0.66264,7,29,0
109,1715554500,0.66262,0.66267,0.66259,0.66264,7,29,0
110,1715554560,0.66264,0.66264,0.66264,0.66264,1,29,0
111,1715554620,0.66264,0.66265,0.66262,0.66263,11,29,0
112,1715554680,0.66262,0.66262,0.66256,0.66257,10,29,0
113,1715554740,0.66257,0.66257,0.66251,0.66252,10,29,0
114,1715554800,0.66257,0.66261,0.66254,0.66254,9,12,0
115,1715554860,0.66254,0.66254,0.66253,0.66253,2,19,0
116,1715554920,0.66253,0.66259,0.66253,0.66256,19,12,0
117,1715554980,0.6626,0.6626,0.66256,0.66258,9,12,0
118,1715555040,0.66257,0.6626,0.66254,0.66259,9,12,0
119,1715555100,0.66259,0.6626,0.66256,0.66259,8,12,0
120,1715555160,0.66259,0.6626,0.66257,0.66259,5,12,0
121,1715555220,0.66259,0.66262,0.66258,0.66262,11,12,0
122,1715555280,0.66262,0.66263,0.66259,0.66262,5,12,0
123,1715555340,0.66262,0.66262,0.6626,0.66262,4,12,0
124,1715555400,0.66262,0.66265,0.66262,0.66265,3,12,0
125,1715555460,0.66265,0.66265,0.66259,0.66259,7,12,0
126,1715555520,0.66263,0.66264,0.66261,0.66262,10,12,0
127,1715555580,0.66262,0.66265,0.66262,0.66264,3,12,0
128,1715555640,0.66264,0.66264,0.66258,0.66258,5,12,0
129,1715555700,0.66262,0.66262,0.66262,0.66262,1,12,0
130,1715555760,0.66262,0.66268,0.66258,0.66268,9,12,0
131,1715555820,0.66268,0.6627,0.66266,0.6627,7,12,0
132,1715555880,0.66269,0.6627,0.66266,0.66267,6,12,0
133,1715555940,0.66267,0.66271,0.66267,0.66271,2,12,0
134,1715556000,0.66271,0.66271,0.66271,0.66271,1,12,0
135,1715556060,0.66271,0.66272,0.66269,0.66269,3,12,0
136,1715556120,0.66269,0.6627,0.66269,0.6627,2,19,0
137,1715556180,0.6627,0.66273,0.6627,0.66271,6,12,0
138,1715556240,0.66271,0.66273,0.66269,0.66273,4,12,0
139,1715556300,0.66273,0.66273,0.66273,0.66273,1,12,0
140,1715556360,0.66273,0.66273,0.66271,0.66273,4,12,0
141,1715556420,0.66273,0.66277,0.66273,0.66277,5,12,0
142,1715556480,0.66277,0.66277,0.66276,0.66276,2,12,0
143,1715556540,0.66276,0.66276,0.66276,0.66276,1,12,0
144,1715556600,0.66276,0.66276,0.66276,0.66276,1,12,0
145,1715556660,0.66276,0.66276,0.66274,0.66275,7,12,0
146,1715556720,0.66278,0.66278,0.66275,0.66276,4,12,0
147,1715556780,0.66276,0.66276,0.6627,0.66273,7,12,0
148,1715556840,0.66273,0.66275,0.66273,0.66275,3,12,0
149,1715556900,0.66275,0.66275,0.66275,0.66275,1,12,0
150,1715556960,0.66275,0.66275,0.66267,0.66267,7,12,0
151,1715557020,0.66267,0.6627,0.66265,0.66265,4,12,0
152,1715557080,0.66265,0.6627,0.66265,0.6627,7,12,0
153,1715557140,0.6627,0.6627,0.66265,0.6627,4,12,0
154,1715557200,0.66265,0.66269,0.66264,0.66264,7,12,0
155,1715557260,0.66264,0.6627,0.66264,0.6627,4,12,0
156,1715557320,0.6627,0.66271,0.66269,0.66271,6,12,0
157,1715557380,0.66271,0.66271,0.66269,0.66269,3,12,0
158,1715557440,0.66269,0.66271,0.66269,0.66271,3,12,0
159,1715557500,0.66271,0.66271,0.66269,0.6627,6,12,0
