,time,open,high,low,close,tick_volume,spread,real_volume
0,1715547900,167.653,167.653,167.63,167.63,2,240,0
1,1715547960,167.618,167.618,167.609,167.609,3,240,0
2,1715548020,167.609,167.609,167.604,167.609,4,240,0
3,1715548080,167.602,167.607,167.602,167.607,4,240,0
4,1715548140,167.609,167.609,167.609,167.609,1,240,0
5,1715548200,167.611,167.622,167.598,167.598,6,236,0
6,1715548260,167.593,167.598,167.593,167.598,2,240,0
7,1715548320,167.596,167.6,167.596,167.598,8,240,0
8,1715548380,167.594,167.597,167.592,167.592,3,240,0
9,1715548440,167.591,167.597,167.59,167.592,10,239,0
10,1715548500,167.597,167.597,167.588,167.588,10,231,0
11,1715548560,167.587,167.588,167.564,167.564,15,240,0
12,1715548620,167.566,167.566,167.557,167.557,9,240,0
13,1715548680,167.557,167.593,167.557,167.593,15,199,0
14,1715548740,167.562,167.568,167.558,167.56,9,235,0
15,1715548800,167.569,167.596,167.555,167.595,18,189,0
16,1715548860,167.595,167.604,167.559,167.562,37,179,0
17,1715548920,167.56,167.59,167.55,167.587,30,193,0
18,1715548980,167.548,167.6,167.548,167.589,27,181,0
19,1715549040,167.565,167.597,167.557,167.586,41,188,0
20,1715549100,167.592,167.601,167.563,167.582,25,188,0
21,1715549160,167.584,167.597,167.556,167.56,33,193,0
22,1715549220,167.568,167.571,167.557,167.57,18,223,0
23,1715549280,167.568,167.585,167.557,167.557,16,213,0
24,1715549340,167.557,167.569,167.557,167.568,15,240,0
25,1715549400,167.568,167.59,167.564,167.59,13,216,0
26,1715549460,167.593,167.61,167.58,167.608,22,183,0
27,1715549520,167.609,167.621,167.606,167.621,16,169,0
28,1715549580,167.622,167.626,167.616,167.622,12,161,0
29,1715549640,167.625,167.635,167.623,167.626,15,148,0
30,1715549700,167.628,167.641,167.622,167.626,17,144,0
31,1715549760,167.627,167.632,167.621,167.632,12,145,0
32,1715549820,167.633,167.636,167.62,167.636,13,139,0
33,1715549880,167.638,167.639,167.623,167.625,12,134,0
34,1715549940,167.626,167.637,167.626,167.637,10,133,0
35,1715550000,167.638,167.639,167.632,167.637,10,129,0
36,1715550060,167.63,167.636,167.627,167.63,9,133,0
37,1715550120,167.628,167.633,167.581,167.616,8,135,0
38,1715550180,167.619,167.634,167.597,167.599,15,131,0
39,1715550240,167.603,167.608,167.544,167.568,18,160,0
40,1715550300,167.569,167.614,167.569,167.603,11,146,0
41,1715550360,167.603,167.612,167.584,167.584,14,151,0
42,1715550420,167.6,167.625,167.567,167.569,14,127,0
43,1715550480,167.611,167.622,167.611,167.617,13,135,0
44,1715550540,167.621,167.633,167.615,167.633,9,122,0
45,1715550600,167.634,167.634,167.62,167.624,5,119,0
46,1715550660,167.625,167.625,167.579,167.621,19,125,0
47,1715550720,167.621,167.624,167.577,167.596,14,125,0
48,1715550780,167.601,167.632,167.601,167.632,6,121,0
49,1715550840,167.619,167.626,167.57,167.623,23,130,0
50,1715550900,167.624,167.631,167.624,167.631,12,120,0
51,1715550960,167.633,167.635,167.605,167.635,8,114,0
52,1715551020,167.634,167.636,167.623,167.632,11,114,0
53,1715551080,167.633,167.638,167.633,167.638,8,119,0
54,1715551140,167.637,167.637,167.597,167.6,23,121,0
55,1715551200,167.694,167.751,167.694,167.751,29,62,0
56,1715551260,167.751,167.753,167.736,167.752,19,61,0
57,1715551320,167.752,167.752,167.727,167.747,19,61,0
58,1715551380,167.747,167.758,167.708,167.714,20,61,0
59,1715551440,167.714,167.721,167.712,167.72,11,60,0
60,1715551500,167.72,167.72,167.705,167.705,13,58,0
61,1715551560,167.706,167.711,167.706,167.709,9,58,0
62,1715551620,167.709,167.709,167.707,167.709,4,57,0
63,1715551680,167.709,167.721,167.708,167.72,8,57,0
64,1715551740,167.72,167.72,167.709,167.71,5,57,0
65,1715551800,167.711,167.715,167.705,167.706,7,56,0
66,1715551860,167.706,167.73,167.706,167.73,9,56,0
67,1715551920,167.73,167.73,167.701,167.721,14,56,0
68,1715551980,167.722,167.722,167.709,167.71,13,56,0
69,1715552040,167.715,167.727,167.708,167.726,14,56,0
70,1715552100,167.727,167.73,167.722,167.73,9,55,0
71,1715552160,167.729,167.733,167.729,167.732,7,55,0
72,1715552220,167.733,167.745,167.731,167.745,11,55,0
73,1715552280,167.745,167.745,167.744,167.744,4,55,0
74,1715552340,167.745,167.751,167.745,167.746,8,55,0
75,1715552400,167.747,167.747,167.726,167.734,19,54,0
76,1715552460,167.735,167.736,167.73,167.736,15,54,0
77,1715552520,167.736,167.74,167.733,167.74,8,53,0
78,1715552580,167.74,167.751,167.739,167.746,11,53,0
79,1715552640,167.746,167.747,167.739,167.741,12,53,0
80,1715552700,167.741,167.749,167.731,167.734,21,53,0
81,1715552760,167.735,167.735,167.699,167.71,18,53,0
82,1715552820,167.709,167.723,167.709,167.722,15,53,0
83,1715552880,167.722,167.722,167.703,167.71,17,53,0
84,1715552940,167.709,167.716,167.703,167.715,16,53,0
85,1715553000,167.715,167.743,167.701,167.741,28,53,0
86,1715553060,167.744,167.749,167.74,167.746,17,52,0
87,1715553120,167.746,167.746,167.739,167.741,7,52,0
88,1715553180,167.741,167.746,167.729,167.737,9,52,0
89,1715553240,167.737,167.751,167.737,167.749,16,52,0
90,1715553300,167.757,167.757,167.733,167.739,23,52,0
91,1715553360,167.739,167.75,167.731,167.743,20,52,0
92,1715553420,167.744,167.752,167.744,167.746,12,52,0
93,1715553480,167.747,167.759,167.747,167.755,13,52,0
94,1715553540,167.755,167.757,167.755,167.757,3,52,0
95,1715553600,167.757,167.757,167.754,167.755,8,51,0
96,1715553660,167.756,167.758,167.75,167.751,9,51,0
97,1715553720,167.751,167.754,167.745,167.747,7,51,0
98,1715553780,167.746,167.755,167.744,167.746,11,51,0
99,1715553840,167.746,167.756,167.746,167.756,9,52,0
100,1715553900,167.756,167.775,167.755,167.769,13,51,0
101,1715553960,167.768,167.768,167.763,167.766,9,52,0
102,1715554020,167.766,167.767,167.764,167.766,9,51,0
103,1715554080,167.766,167.775,167.766,167.775,5,51,0
104,1715554140,167.775,167.775,167.76,167.762,13,51,0
105,1715554200,167.762,167.766,167.736,167.754,14,51,0
106,1715554260,167.755,167.776,167.744,167.766,16,52,0
107,1715554320,167.772,167.784,167.764,167.781,16,52,0
108,1715554380,167.781,167.783,167.778,167.782,8,52,0
109,1715554440,167.781,167.784,167.777,167.781,10,51,0
110,1715554500,167.782,167.782,167.775,167.775,8,51,0
111,1715554560,167.775,167.781,167.775,167.781,4,51,0
112,1715554620,167.781,167.783,167.775,167.777,10,51,0
113,1715554680,167.777,167.78,167.774,167.779,10,51,0
114,1715554740,167.779,167.808,167.779,167.808,14,27,0
115,1715554800,167.811,167.824,167.811,167.821,19,22,0
116,1715554860,167.822,167.825,167.815,167.815,19,22,0
117,1715554920,167.814,167.831,167.809,167.827,25,22,0
118,1715554980,167.828,167.828,167.811,167.811,12,22,0
119,1715555040,167.811,167.823,167.81,167.81,15,27,0
120,1715555100,167.813,167.819,167.798,167.802,21,22,0
121,1715555160,167.802,167.828,167.802,167.828,21,22,0
122,1715555220,167.828,167.832,167.826,167.831,10,22,0
