,time,open,high,low,close,tick_volume,spread,real_volume
0,1715547900,155.665,155.683,155.605,155.683,10,89,0
1,1715547960,155.62,155.692,155.62,155.683,14,80,0
2,1715548020,155.687,155.694,155.643,155.684,13,75,0
3,1715548080,155.636,155.691,155.636,155.691,2,94,0
4,1715548140,155.704,155.704,155.704,155.704,1,69,0
5,1715548200,155.666,155.702,155.637,155.648,16,69,0
6,1715548260,155.613,155.667,155.581,155.667,5,124,0
7,1715548320,155.674,155.674,155.579,155.652,3,114,0
8,1715548380,155.592,155.695,155.592,155.695,6,76,0
9,1715548440,155.653,155.653,155.58,155.64,4,155,0
10,1715548500,155.589,155.632,155.589,155.612,5,194,0
11,1715548560,155.587,155.602,155.587,155.597,3,246,0
12,1715548620,155.607,155.675,155.607,155.675,9,109,0
13,1715548680,155.677,155.684,155.677,155.684,2,103,0
14,1715548740,155.691,155.691,155.595,155.635,5,85,0
15,1715548800,155.638,155.638,155.586,155.61,3,191,0
16,1715548860,155.587,155.642,155.587,155.642,5,174,0
17,1715548920,155.69,155.69,155.616,155.637,11,74,0
18,1715548980,155.615,155.691,155.608,155.669,11,69,0
19,1715549040,155.665,155.69,155.636,155.69,8,69,0
20,1715549100,155.614,155.614,155.605,155.607,3,231,0
21,1715549160,155.593,155.684,155.593,155.684,7,91,0
22,1715549220,155.639,155.685,155.609,155.609,4,79,0
23,1715549280,155.596,155.665,155.596,155.665,2,107,0
24,1715549340,155.608,155.636,155.608,155.625,3,184,0
25,1715549400,155.598,155.691,155.598,155.69,13,69,0
26,1715549460,155.656,155.693,155.656,155.68,20,69,0
27,1715549520,155.689,155.708,155.662,155.694,17,43,0
28,1715549580,155.707,155.708,155.675,155.697,15,43,0
29,1715549640,155.696,155.709,155.688,155.688,17,43,0
30,1715549700,155.668,155.698,155.668,155.689,11,69,0
31,1715549760,155.697,155.708,155.678,155.708,10,43,0
32,1715549820,155.708,155.708,155.67,155.697,16,43,0
33,1715549880,155.679,155.71,155.664,155.709,13,43,0
34,1715549940,155.666,155.71,155.664,155.698,10,43,0
35,1715550000,155.697,155.709,155.679,155.692,10,43,0
36,1715550060,155.696,155.71,155.657,155.708,15,43,0
37,1715550120,155.708,155.709,155.688,155.709,11,43,0
38,1715550180,155.672,155.708,155.658,155.694,19,43,0
39,1715550240,155.681,155.681,155.627,155.653,20,89,0
40,1715550300,155.64,155.662,155.637,155.662,13,91,0
41,1715550360,155.659,155.669,155.653,155.668,12,78,0
42,1715550420,155.669,155.672,155.658,155.661,11,69,0
43,1715550480,155.639,155.675,155.639,155.668,5,69,0
44,1715550540,155.687,155.687,155.661,155.674,10,43,0
45,1715550600,155.674,155.688,155.673,155.675,6,43,0
46,1715550660,155.687,155.687,155.625,155.68,21,43,0
47,1715550720,155.681,155.681,155.642,155.653,19,43,0
48,1715550780,155.658,155.658,155.638,155.647,14,76,0
49,1715550840,155.655,155.662,155.653,155.655,11,69,0
50,1715550900,155.656,155.673,155.652,155.673,14,43,0
51,1715550960,155.673,155.675,155.657,155.662,16,43,0
52,1715551020,155.674,155.675,155.653,155.653,12,43,0
53,1715551080,155.675,155.675,155.641,155.675,9,43,0
54,1715551140,155.662,155.675,155.651,155.657,20,43,0
55,1715551200,155.647,155.701,155.647,155.701,33,92,0
56,1715551260,155.705,155.71,155.675,155.709,32,72,0
57,1715551320,155.709,155.711,155.663,155.7,19,71,0
58,1715551380,155.7,155.7,155.647,155.682,17,70,0
59,1715551440,155.683,155.692,155.683,155.691,10,69,0
60,1715551500,155.691,155.693,155.68,155.683,20,69,0
61,1715551560,155.685,155.687,155.684,155.686,7,69,0
62,1715551620,155.685,155.685,155.682,155.683,12,69,0
63,1715551680,155.683,155.69,155.67,155.686,11,69,0
64,1715551740,155.688,155.691,155.674,155.685,11,69,0
65,1715551800,155.685,155.686,155.684,155.685,5,69,0
66,1715551860,155.685,155.685,155.652,155.684,9,69,0
67,1715551920,155.684,155.684,155.624,155.68,20,69,0
68,1715551980,155.683,155.692,155.682,155.692,17,69,0
69,1715552040,155.691,155.693,155.68,155.686,13,69,0
70,1715552100,155.689,155.703,155.689,155.703,11,69,0
71,1715552160,155.703,155.703,155.703,155.703,1,69,0
72,1715552220,155.703,155.713,155.69,155.713,13,69,0
73,1715552280,155.713,155.714,155.712,155.713,5,69,0
74,1715552340,155.713,155.716,155.711,155.716,12,69,0
75,1715552400,155.716,155.717,155.711,155.716,18,69,0
76,1715552460,155.717,155.717,155.707,155.71,8,69,0
77,1715552520,155.71,155.711,155.708,155.711,13,69,0
78,1715552580,155.711,155.713,155.708,155.713,8,69,0
79,1715552640,155.714,155.714,155.705,155.71,19,69,0
80,1715552700,155.71,155.711,155.685,155.702,22,69,0
81,1715552760,155.702,155.702,155.654,155.68,24,69,0
82,1715552820,155.68,155.681,155.673,155.678,14,69,0
83,1715552880,155.678,155.683,155.655,155.67,23,69,0
84,1715552940,155.671,155.683,155.665,155.683,23,69,0
85,1715553000,155.684,155.715,155.676,155.714,37,69,0
86,1715553060,155.714,155.717,155.708,155.715,11,69,0
87,1715553120,155.715,155.715,155.699,155.7,8,69,0
88,1715553180,155.7,155.702,155.675,155.698,11,69,0
89,1715553240,155.697,155.706,155.691,155.699,19,69,0
90,1715553300,155.698,155.712,155.659,155.691,29,69,0
91,1715553360,155.685,155.697,155.676,155.697,28,69,0
92,1715553420,155.697,155.702,155.697,155.702,7,69,0
93,1715553480,155.702,155.713,155.683,155.71,15,69,0
94,1715553540,155.71,155.711,155.709,155.711,4,69,0
95,1715553600,155.71,155.712,155.71,155.711,4,69,0
96,1715553660,155.711,155.712,155.69,155.71,9,69,0
97,1715553720,155.71,155.711,155.71,155.71,3,69,0
98,1715553780,155.71,155.711,155.692,155.701,8,69,0
99,1715553840,155.7,155.711,155.7,155.711,18,69,0
100,1715553900,155.712,155.723,155.695,155.723,17,69,0
101,1715553960,155.723,155.724,155.723,155.724,4,69,0
102,1715554020,155.724,155.724,155.72,155.722,5,69,0
103,1715554080,155.723,155.728,155.722,155.728,5,69,0
104,1715554140,155.728,155.728,155.714,155.723,13,69,0
105,1715554200,155.723,155.724,155.666,155.708,14,69,0
106,1715554260,155.709,155.732,155.689,155.732,32,69,0
107,1715554320,155.732,155.741,155.716,155.741,23,69,0
108,1715554380,155.742,155.742,155.738,155.74,6,69,0
109,1715554440,155.74,155.74,155.726,155.74,10,69,0
110,1715554500,155.74,155.741,155.74,155.74,3,69,0
111,1715554560,155.74,155.74,155.74,155.74,1,69,0
112,1715554620,155.74,155.74,155.724,155.735,21,69,0
113,1715554680,155.735,155.735,155.716,155.728,14,69,0
114,1715554740,155.728,155.741,155.713,155.741,19,69,0
115,1715554800,155.776,155.789,155.776,155.787,25,11,0
116,1715554860,155.787,155.791,155.78,155.786,15,11,0
117,1715554920,155.786,155.792,155.777,155.79,27,11,0
118,1715554980,155.79,155.79,155.788,155.789,8,11,0
119,1715555040,155.789,155.789,155.777,155.777,11,11,0
120,1715555100,155.782,155.782,155.763,155.767,21,11,0
121,1715555160,155.767,155.791,155.767,155.791,25,11,0
122,1715555220,155.791,155.791,155.782,155.789,11,11,0
123,1715555280,155.789,155.79,155.783,155.788,16,11,0
124,1715555340,155.787,155.788,155.779,155.787,20,11,0
125,1715555400,155.787,155.79,155.78,155.786,17,11,0
126,1715555460,155.788,155.789,155.781,155.788,33,11,0
127,1715555520,155.785,155.785,155.78,155.781,7,11,0
128,1715555580,155.781,155.781,155.778,155.779,7,11,0
129,1715555640,155.78,155.78,155.778,155.779,6,11,0
130,1715555700,155.779,155.779,155.778,155.779,11,11,0
131,1715555760,155.779,155.779,155.776,155.778,6,11,0
132,1715555820,155.778,155.779,155.77,155.776,30,11,0
133,1715555880,155.776,155.779,155.77,155.777,19,11,0
134,1715555940,155.777,155.778,155.771,155.776,14,11,0
135,1715556000,155.776,155.779,155.771,155.778,21,11,0
136,1715556060,155.778,155.781,155.777,155.778,7,11,0
137,1715556120,155.778,155.778,155.776,155.777,6,11,0
138,1715556180,155.777,155.777,155.776,155.777,3,11,0
139,1715556240,155.776,155.777,155.776,155.776,3,11,0
140,1715556300,155.776,155.777,155.771,155.776,8,11,0
141,1715556360,155.776,155.776,155.766,155.768,12,11,0
142,1715556420,155.768,155.768,155.768,155.768,1,11,0
143,1715556480,155.768,155.779,155.767,155.777,10,11,0
144,1715556540,155.775,155.776,155.773,155.776,8,11,0
