,time,open,high,low,close,tick_volume,spread,real_volume,Previous_High,Previous_Low,BOS_Up,BOS_Down,BOS_Signal
0,1743016500,3016.894,3017.237,3016.408,3016.929,426,112,0,,,False,False,No BOS
1,1743016800,3016.929,3018.318,3016.895,3017.586,418,112,0,,,False,False,No BOS
2,1743017100,3017.589,3017.774,3017.007,3017.271,388,111,0,,,False,False,No BOS
3,1743017400,3017.295,3017.724,3016.443,3017.074,422,112,0,,,False,False,No BOS
4,1743017700,3017.067,3017.591,3016.038,3016.359,414,112,0,,,False,False,No BOS
5,1743018000,3016.374,3016.903,3015.968,3016.642,329,112,0,3018.318,3016.038,False,False,No BOS
6,1743018300,3016.681,3017.304,3016.671,3017.025,351,112,0,3018.318,3015.968,False,False,No BOS
7,1743018600,3017.039,3017.769,3016.353,3017.733,441,112,0,3017.774,3015.968,False,False,No BOS
8,1743018900,3017.685,3018.163,3017.038,3017.366,457,112,0,3017.769,3015.968,False,False,No BOS
9,1743019200,3017.391,3018.694,3017.186,3018.401,293,112,0,3018.163,3015.968,True,False,Bullish BOS
10,1743019500,3018.422,3018.818,3018.422,3018.598,222,112,0,3018.694,3015.968,False,False,No BOS
11,1743019800,3018.595,3020.256,3018.382,3019.823,252,112,0,3018.818,3016.353,True,False,Bullish BOS
12,1743020100,3019.861,3020.477,3019.507,3019.647,287,112,0,3020.256,3016.353,False,False,No BOS
13,1743020400,3019.669,3020.467,3019.334,3019.455,315,112,0,3020.477,3017.038,False,False,No BOS
14,1743020700,3019.453,3020.021,3019.418,3019.656,177,112,0,3020.477,3017.186,False,False,No BOS
15,1743021000,3019.649,3019.981,3019.513,3019.811,202,112,0,3020.477,3018.382,False,False,No BOS
16,1743021300,3019.813,3021.78,3019.08,3021.191,473,112,0,3020.477,3018.382,True,False,Bullish BOS
17,1743021600,3021.167,3021.872,3020.178,3020.347,526,112,0,3021.78,3019.08,False,False,No BOS
18,1743021900,3020.349,3021.102,3020.12,3020.185,319,112,0,3021.872,3019.08,False,False,No BOS
19,1743022200,3020.18,3020.436,3019.266,3019.49,314,112,0,3021.872,3019.08,False,False,No BOS
20,1743022500,3019.483,3019.75,3018.839,3018.99,245,112,0,3021.872,3019.08,False,True,Bearish BOS
21,1743026400,3020.517,3021.07,3020.036,3020.565,404,112,0,3021.872,3018.839,False,False,No BOS
22,1743026700,3020.537,3020.537,3019.083,3019.197,655,112,0,3021.872,3018.839,False,False,No BOS
23,1743027000,3019.172,3019.848,3018.612,3018.652,426,112,0,3021.102,3018.839,False,True,Bearish BOS
24,1743027300,3018.673,3021.075,3018.061,3020.929,530,112,0,3021.07,3018.612,False,False,No BOS
25,1743027600,3020.865,3021.202,3020.362,3020.584,294,112,0,3021.075,3018.061,False,False,No BOS
26,1743027900,3020.597,3021.07,3020.366,3020.596,262,112,0,3021.202,3018.061,False,False,No BOS
27,1743028200,3020.555,3020.559,3019.914,3020.156,382,112,0,3021.202,3018.061,False,False,No BOS
28,1743028500,3020.158,3020.461,3019.537,3019.736,344,112,0,3021.202,3018.061,False,False,No BOS
29,1743028800,3019.728,3020.691,3018.809,3019.639,363,112,0,3021.202,3018.061,False,False,No BOS
30,1743029100,3019.642,3020.218,3019.492,3019.935,224,112,0,3021.202,3018.809,False,False,No BOS
31,1743029400,3019.915,3020.125,3019.093,3019.605,186,112,0,3021.07,3018.809,False,False,No BOS
32,1743029700,3019.645,3019.736,3018.886,3019.497,188,112,0,3020.691,3018.809,False,False,No BOS
33,1743030000,3019.449,3019.602,3018.465,3018.711,239,112,0,3020.691,3018.809,False,True,Bearish BOS
34,1743030300,3018.704,3019.716,3017.607,3019.716,401,112,0,3020.691,3018.465,False,False,No BOS
35,1743030600,3019.709,3020.628,3019.367,3019.458,337,112,0,3020.218,3017.607,False,False,No BOS
36,1743030900,3019.409,3019.538,3018.59,3018.763,256,112,0,3020.628,3017.607,False,False,No BOS
37,1743031200,3018.763,3019.978,3018.319,3019.714,394,112,0,3020.628,3017.607,False,False,No BOS
38,1743031500,3019.728,3020.74,3018.967,3020.634,410,112,0,3020.628,3017.607,True,False,Bullish BOS
39,1743031800,3020.664,3021.162,3020.359,3020.75,266,112,0,3020.74,3017.607,True,False,Bullish BOS
40,1743032100,3020.746,3021.277,3019.819,3019.969,379,112,0,3021.162,3018.319,False,False,No BOS
41,1743032400,3019.927,3020.547,3019.706,3020.335,212,112,0,3021.277,3018.319,False,False,No BOS
42,1743032700,3020.408,3021.667,3020.408,3021.667,315,112,0,3021.277,3018.319,True,False,Bullish BOS
43,1743033000,3021.608,3021.778,3021.243,3021.394,275,112,0,3021.667,3018.967,False,False,No BOS
44,1743033300,3021.394,3021.724,3021.158,3021.647,243,112,0,3021.778,3019.706,False,False,No BOS
45,1743033600,3021.587,3024.016,3021.546,3023.83,528,112,0,3021.778,3019.706,True,False,Bullish BOS
46,1743033900,3023.834,3025.122,3022.582,3022.798,682,111,0,3024.016,3019.706,False,False,No BOS
47,1743034200,3022.774,3023.549,3022.487,3023.319,493,112,0,3025.122,3020.408,False,False,No BOS
48,1743034500,3023.321,3023.321,3022.403,3022.66,257,112,0,3025.122,3021.158,False,False,No BOS
