,time,open,high,low,close,tick_volume,spread,real_volume,candle_type
0,2024-09-17 12:30:00,2577.481,2579.096,2568.366,2569.075,4964,111,0,
1,2024-09-17 12:40:00,2569.12,2576.005,2569.01,2575.459,4070,111,0,
2,2024-09-17 12:50:00,2575.434,2577.969,2574.969,2577.763,2392,111,0,
3,2024-09-17 13:00:00,2577.76,2578.28,2575.595,2577.75,2922,111,0,doji
4,2024-09-17 13:10:00,2577.686,2579.147,2576.478,2578.314,1854,112,0,
5,2024-09-17 13:20:00,2578.319,2579.138,2575.446,2576.602,2164,111,0,
6,2024-09-17 13:30:00,2576.634,2577.045,2573.389,2573.846,3480,111,0,
7,2024-09-17 13:40:00,2573.888,2578.276,2573.078,2577.861,3211,111,0,
8,2024-09-17 13:50:00,2577.904,2579.6,2573.583,2573.749,2852,111,0,
9,2024-09-17 14:00:00,2573.721,2578.889,2573.721,2578.327,2744,111,0,
10,2024-09-17 14:10:00,2578.364,2582.276,2578.231,2581.169,2608,111,0,
11,2024-09-17 14:20:00,2581.203,2582.165,2578.088,2578.613,1954,112,0,
12,2024-09-17 14:30:00,2578.578,2578.712,2574.567,2575.814,2019,112,0,
13,2024-09-17 14:40:00,2575.824,2575.958,2571.751,2573.178,2563,111,0,
14,2024-09-17 14:50:00,2573.213,2576.743,2572.9,2576.433,1937,112,0,
15,2024-09-17 15:00:00,2576.467,2577.13,2573.792,2574.219,1705,111,0,
16,2024-09-17 15:10:00,2574.22,2575.543,2571.825,2571.828,1579,112,0,
17,2024-09-17 15:20:00,2571.836,2573.07,2567.107,2567.744,2026,111,0,
18,2024-09-17 15:30:00,2567.776,2569.103,2562.902,2564.679,3151,112,0,
19,2024-09-17 15:40:00,2564.659,2567.27,2561.739,2566.979,2645,111,0,
20,2024-09-17 15:50:00,2567.05,2567.79,2564.786,2565.692,1524,112,0,
21,2024-09-17 16:00:00,2565.716,2565.776,2562.54,2564.63,1712,112,0,
22,2024-09-17 16:10:00,2564.654,2564.926,2563.09,2563.755,1335,112,0,
23,2024-09-17 16:20:00,2563.788,2565.22,2562.03,2564.52,1566,112,0,
24,2024-09-17 16:30:00,2564.489,2566.589,2564.197,2565.848,1700,111,0,
