,symbol,action,magic,spreads,bollinger_bands,trendline_scalping,pin_bar_strategy,rsi_signal,xian_signal,engulfing_signal,double_doji_break_signal,first_break_signal,second_break_signal,block_break_signal,range_break_signal,inside_range_break_signal,,advance_range_break_signal
0,AUDUSD,sell,1206,3,,,sell,buy,sell,,,,,,,,,
0,USDJPY,sell,1207,4,sell,,,sell,buy,,,,,,,,,
0,EURUSD,buy,1208,1,buy,,,buy,sell,,,,,,,,,
0,USDJPY,sell,1209,3,sell,,,sell,buy,,,,,,,,,
0,USDJPY,sell,1210,0,,,sell,sell,buy,,,,,,,,,
0,USDJPY,sell,1211,4,sell,,,sell,buy,,,,,,,,,
0,USDJPY,sell,1212,3,sell,,,sell,buy,,,,,,,,,
0,USDJPY,sell,1213,2,sell,,,sell,,,,,,,,,,
0,NZDUSD,sell,1214,2,,,sell,,sell,,,,,,,,,
0,USDJPY,sell,1215,3,,,,sell,sell,,,,,,,,,
0,NZDUSD,sell,1216,3,sell,,,sell,buy,,,,,,,,,
0,NZDUSD,sell,1217,3,sell,,,sell,buy,,,,,,,,,
0,USDJPY,sell,1218,3,,,sell,,sell,,,,,,,,,
0,NZDUSD,sell,1219,3,sell,,buy,sell,,,,,,,,,,
0,USDJPY,buy,1220,4,buy,,,buy,sell,,,,,,,,,
0,NZDUSD,sell,1221,2,,,sell,sell,,,,,,,,,,
0,USDJPY,buy,1222,2,buy,,,buy,sell,,,,,,,,,
0,USDJPY,buy,1223,3,buy,,,buy,sell,,,,,,,,,
0,USDJPY,buy,1224,2,buy,,,buy,sell,,,,,,,,,
0,USDJPY,buy,1225,3,buy,,,buy,sell,,,,,,,,,
0,USDJPY,buy,1226,2,buy,,,buy,sell,,,,,,,,,
0,NZDUSD,sell,1227,3,sell,,,sell,,buy,,,,,,,,
0,USDJPY,buy,1228,2,buy,,,buy,sell,,,,,,,,,
0,USDJPY,buy,1229,2,buy,,,buy,sell,,,,,,,,,
0,USDJPY,buy,1230,2,,,,buy,,buy,,,,,,,,
0,NZDUSD,sell,1231,2,,,sell,sell,buy,,,,,,,,,
0,NZDUSD,sell,1232,3,sell,,,sell,buy,,,,,,,,,
0,AUDUSD,sell,1233,3,sell,,,sell,buy,,,,,,,,,
0,NZDUSD,sell,1234,3,,,,sell,sell,,,,,,,,,
0,NZDUSD,sell,1235,2,,,sell,sell,,,,,,,,,,
0,EURUSD,sell,1236,0,buy,,sell,,sell,,,,,,,,,
0,EURUSD,buy,1237,0,buy,,,buy,,,,,,,,,,
0,GBPUSD,buy,1238,2,buy,,buy,,sell,,,,,,,,,
0,EURUSD,buy,1239,1,buy,,,buy,sell,,,,,,,,,
0,USDJPY,buy,1241,4,,,buy,,buy,,,,,,,,,
0,EURUSD,buy,1242,1,,,,buy,buy,,,,,,,,,
0,NZDUSD,buy,1243,2,,,buy,,buy,,,,,,,,,
0,EURUSD,buy,1244,0,,,,buy,buy,,,,,,,,,
0,EURUSD,buy,1245,0,,,,buy,buy,,,,,,,,,
0,EURUSD,buy,1246,0,,,,buy,buy,,,,,,,,,
0,GBPUSD,buy,1247,0,,,buy,,buy,,,,,,,,,
0,EURUSD,buy,1248,0,,,buy,,buy,,,,,,,,,
0,USDJPY,sell,1249,2,,,sell,sell,,,,,,,,,,
0,USDJPY,sell,1250,3,,,sell,,sell,,,,,,,,,
0,USDCAD,buy,1251,2,,,,buy,buy,,,,,,,,,
0,GBPUSD,buy,1252,0,,,buy,,buy,,,,,,,,,
0,GBPUSD,sell,1253,0,,,sell,,sell,,,,,,,,,
0,USDCHF,sell,1254,4,sell,,,sell,,,,,,,,,,
0,USDJPY,sell,1255,3,,,,sell,sell,,,,,,,,,
0,AUDUSD,buy,1256,3,buy,,,buy,sell,,,,,,,,,
0,USDJPY,buy,1257,3,buy,,,buy,sell,,,,,,,,,
0,USDJPY,buy,1258,2,buy,,,buy,sell,,,,,,,,,
0,USDJPY,buy,1259,3,buy,,,buy,sell,,,,,,,,,
0,USDJPY,buy,1260,3,buy,,,buy,sell,,,,,,,,,
0,GBPUSD,buy,1261,0,,,buy,,buy,,,,,,,,,
0,USDCAD,buy,1262,0,buy,,,buy,sell,,,,,,,,,
0,EURUSD,sell,1263,1,,,sell,,sell,,,,,,,,,
0,AUDUSD,buy,1264,1,,,buy,,buy,,,,,,,,,
0,USDCAD,buy,1265,1,,,,buy,buy,,,,,,,,,
0,EURUSD,sell,1266,0,sell,,,sell,buy,,,,,,,,,
0,USDJPY,sell,1267,2,,,sell,buy,,sell,,,,,,,,
0,USDCHF,sell,1268,3,sell,,,sell,,,,,,,,,,
0,EURUSD,sell,1269,0,sell,,,sell,,buy,,,,,,,,
0,USDCHF,sell,1270,3,sell,,,sell,,buy,,,,,,,,
0,USDCHF,sell,1271,3,sell,,,sell,buy,,,,,,,,,
0,USDCHF,buy,1272,4,,,buy,sell,buy,,,,,,,,,
0,USDCHF,sell,1273,4,sell,,,sell,buy,,,,,,,,,
0,USDCHF,sell,1274,4,sell,,,sell,buy,,,,,,,,,
0,USDCHF,sell,1275,4,sell,,,sell,buy,,,,,,,,,
0,USDJPY,sell,1276,2,sell,,,sell,buy,,,,,,,,,
0,GBPUSD,buy,1277,0,buy,,,buy,sell,,,,,,,,,
0,GBPUSD,buy,1278,0,buy,,,buy,,,,,,,,,,
0,GBPUSD,buy,1279,0,buy,,,buy,,,,,,,,,,
0,USDCAD,buy,1280,0,,,buy,,buy,,,,,,,,,
0,USDCHF,sell,1281,3,sell,,,sell,,,,,,,,,,
0,GBPUSD,buy,1282,0,,,,buy,,buy,,,,,,,,
0,USDCHF,sell,1283,4,,,,sell,,sell,,,,,,,,
0,USDJPY,sell,1284,4,,,sell,sell,,,,,,,,,,
0,USDCAD,sell,1285,2,,,sell,,sell,,,,,,,,,
0,USDJPY,sell,1286,3,,,sell,sell,buy,,,,,,,,,
0,USDCHF,sell,1287,3,,,,sell,sell,,,,,,,,,
0,GBPUSD,sell,1288,0,,,sell,,sell,,,,,,,,,
0,USDCHF,sell,1289,3,,,,sell,sell,,,,,,,,,
0,USDJPY,sell,1290,3,,,,sell,,sell,,,,,,,,
0,USDJPY,sell,1291,3,,,,sell,sell,,,,,,,,,
0,USDCAD,sell,1292,2,,,sell,,sell,,,,,,,,,
0,USDJPY,sell,1293,2,,,buy,sell,sell,,,,,,,,,
0,GBPUSD,sell,1294,0,,,sell,,sell,,,,,,,,,
0,EURUSD,sell,1295,0,sell,,sell,,buy,,,,,,,,,
0,GBPUSD,buy,1296,0,buy,,,buy,sell,,,,,,,,,
0,GBPUSD,buy,1297,0,buy,,,buy,sell,,,,,,,,,
0,EURUSD,sell,1298,0,,,sell,,sell,,,,,,,,,
0,GBPUSD,buy,1299,0,buy,,,buy,sell,,,,,,,,,
0,USDCHF,sell,1300,2,,,sell,,sell,,,,,,,,,
0,EURUSD,sell,1301,0,,,,sell,sell,,,,,,,,,
0,AUDUSD,sell,1302,2,,,sell,,sell,,,,,,,,,
0,GBPUSD,sell,1303,0,,,sell,,sell,,,,,,,,,
0,GBPUSD,buy,1304,0,buy,,,buy,sell,,,,,,,,,
0,USDCAD,sell,1305,1,,,sell,sell,,,,,,,,,,
0,AUDUSD,buy,1306,3,buy,,,buy,sell,,,,,,,,,
0,GBPUSD,buy,1307,0,buy,,,buy,sell,,,,,,,,,
0,USDCAD,buy,1308,0,,,buy,sell,buy,,,,,,,,,
0,USDCAD,sell,1309,0,,,,sell,,sell,,,,,,,,
0,AUDUSD,buy,1310,2,,,,buy,buy,,,,,,,,,
0,EURUSD,buy,1311,0,,,buy,,buy,,,,,,,,,
0,AUDUSD,buy,1312,3,,,,buy,buy,,,,,,,,,
0,GBPUSD,buy,1313,3,,,,buy,buy,,,,,,,,,
0,GBPUSD,buy,1314,0,,,,buy,buy,,,,,,,,,
0,USDJPY,sell,1315,3,,,sell,sell,buy,,,,,,,,,
0,USDCAD,buy,1316,0,,,,buy,buy,,,,,,,,,
0,EURUSD,buy,2201,0.0,,,,,,,buy
0,EURUSD,buy,2202,0.9999999999843466,,,,,,,buy
0,EURUSD,sell,2203,0.0,,,,,,,sell
0,EURUSD,sell,2204,0.0,,,,,,,sell
0,EURUSD,sell,2205,0.0,,,,,,,sell
0,EURUSD,sell,2206,0.0,,,,,,,sell
0,EURUSD,buy,2251,0.0,,,,,,,buy
0,EURUSD,buy,2252,0.0,,,,,,,buy
0,AUDUSD,buy,2253,2.9999999999974487,,,,,,,buy
0,AUDUSD,buy,2254,2.9999999999974487,,,,,,,buy
0,USDCAD,buy,2255,2.0000000000131024,,,,,,,buy
0,USDCAD,buy,2256,1.0000000000065512,,,,,,,buy
0,USDCAD,buy,2257,0.0,,,,,,,buy
0,USDCHF,sell,2258,2.9999999999974487,,,,,,,sell
0,USDCHF,buy,2259,2.9999999999974487,,,,,,,buy
